ID,Rating,Votes,Title,Author
11516520,8.7,351,动机与人格,[美]亚伯拉罕•马斯洛
1025960,8.0,740,愤怒,
2058096,8.0,740,吸血之家,二階堂黎人
2210323,8.0,740,豪门焰,
2370421,9.1,246,回忆维特根斯坦,[美] 诺尔曼·马尔康姆
11597283,9.1,246,听见颜色的女孩,(美)莎朗·德蕾珀
30317423,7.5,1432,我杀了他,
4123951,7.8,949,虐恋亚文化,李银河
26437079,7.8,949,春江花月夜,
34985248,10.0,127,罗杰疑案,
6800930,8.9,292,人格心理学,[美] 兰迪·拉森 / [美] 戴维·巴斯
4141681,8.1,657,月迷津渡 下,
21714777,8.1,657,巴西：未来之国,(奥)斯蒂芬·茨威格
26606365,8.1,657,城中城,
4313495,8.6,386,哈贝马斯,芬利森
2035182,9.8,145,レスリー・チャンのすべて,
3271659,9.8,145,神谷哲史作品集,
25881120,7.7,1082,桐花中路私立协济医院怪谈,
25850080,8.0,739,何以中国,许宏
33413091,8.0,739,检察方的罪人,[日]雫井脩介
26844866,7.4,1659,一寸相思,紫微流年
2301436,7.9,835,不顾诸神,（英）卢斯
27593007,7.8,948,H庄园的午餐,[英] 阿加莎·克里斯蒂
1225531,9.3,209,智擒大猩猩,威勒德·普赖斯
1371511,9.3,209,Pride and Prejudice,Jane Austen
1415354,9.3,209,C++ Primer,
7155220,9.3,209,昭和元禄落語心中 2,雲田はるこ
3116527,8.5,426,菊花与刀,[美]鲁斯·本尼迪克特
1143899,7.6,1240,一点正经没有,王朔
10527654,7.6,1240,鼠男,
3586463,8.4,472,断片集,[法] 让·波德里亚
26319391,8.1,656,金融的逻辑1,
1028540,7.8,947,冰心散文,
5354379,8.0,738,喂故事书长大的孩子,汪培珽 / 丁一一 插图
27075484,7.2,2271,人渣反派自救系統 下,
1823105,8.8,319,河的第三条岸,托尔斯泰等
4193160,8.8,319,The Girl Who Kicked the Hornet's Nest,
20472534,6.7,5696,迎男而上,燕公子 / 薛好大
10434740,8.7,350,艺术,[美]理查德·加纳罗
26393693,8.7,350,达·芬奇笔记,[意] 列奥纳多·达·芬奇 著 / [美] H. 安娜·苏 编
3171864,7.6,1238,一头想要被吃掉的猪,[英] 朱利安·巴吉尼
2056461,9.2,226,罪与罚,[俄] 陀思妥耶夫斯基
2302816,9.2,226,中国奇幻十人选——捕梦天王·骑桶人,骑桶人
3881719,9.2,226,亂馬1/2（卷二）,
5290299,9.2,226,安全、领土与人口,
10491578,9.2,226,小狐狸阿权,(日)新美南吉 文 / (日)黑井健 图
26722581,9.2,226,基督教史（上下）,胡斯托·L.冈萨雷斯 (Justo L.Gonzalez)
35016965,9.2,226,巷里林泉,
1026916,9.0,267,芭巴拉少校,萧伯纳(英)
3930857,9.0,267,微观经济学,(美)哈尔·R.范里安|译者:费方域
19935531,9.0,267,给青年的十二封信·谈修养,朱光潜
25894181,9.0,267,包法利夫人,[法] 福楼拜
26896530,9.0,267,美丽与哀愁,[瑞典] 皮特·恩格伦
26974841,9.0,267,人的境况,[美] 汉娜·阿伦特(Hannah Arendt)
10566848,7.8,946,黑夜飞行,
5336230,8.3,524,论诱惑,
2160732,7.5,1427,莎乐美的七层纱,周黎明
26941499,7.5,1427,羔羊们的平安夜,
2342023,7.2,2268,最小说·第十四辑,
1986275,8.6,385,大失败,[美] 兹·布热津斯基
2159225,8.6,385,死神07,
3810013,8.6,385,大众传播效果研究的里程碑（第三版）,
6875218,8.6,385,富春山居图卷,蒋勋 著 / 黄公望 绘
6430234,8.1,655,最后一只猫,
3073492,7.0,3196,痴情司,
4191531,7.5,1426,工作颂歌,(英) 德波顿
26436991,9.4,193,莎士比亚全集,[英] 威廉·莎士比亚
30468562,8.5,425,浮生六记,沈复
10478370,9.5,179,A Single Tear,
10554712,9.5,179,卡拉马佐夫兄弟-全二册,[俄] 陀思妥耶夫斯基
30296163,9.5,179,金融经济学二十五讲,
1964473,7.5,1425,流光夜雪,
1264489,8.9,291,罗素论幸福,
1277376,8.9,291,埃涅阿斯纪,［古罗马］维吉尔
4843567,8.9,291,深入Linux内核架构,
7175407,8.2,584,漂逝的纸偶,(日)北村薰
2044009,9.1,245,古拉格群岛(上册),(俄)亚历山大·索尔仁尼琴
2080782,9.1,245,世说新语译注（全二册）,
2283665,9.1,245,来自德国的大师,吕迪格尔·萨弗兰斯基
10801274,9.1,245,熱帯性気候 青山知可子,篠山 紀信
26111149,7.2,2264,第一日,
3028846,8.0,736,大医院小医师,侯文咏
3137080,7.2,2262,那一杯咖啡的爱情,
1202368,8.7,349,城南旧事,林海音
4729341,8.7,349,梦中的塞巴斯蒂安,[奥] 特拉克尔
10438850,8.7,349,古典的回声,高峰枫
26897375,8.7,349,爱你就像爱生命,王小波
30333919,8.7,349,架构整洁之道,【美】Robert C. Martin（罗伯特 C. 马丁）
34950849,8.7,349,一个知识女性的思考系列,
1027762,8.4,470,个人的体验,
1057645,8.4,470,大学,蔡志忠
3199212,8.4,470,伦理学导论,
3661129,8.4,470,小屁孩日记2,
4859791,8.4,470,猫婆婆,
3091214,8.8,318,海街diary1~蟬鳴暫歇時~,
25976633,8.0,735,我自己的陌生人,张怡微
4805128,7.5,1422,你好，陌生人,
3266564,8.6,384,灵山,徐剑
3852554,8.6,384,王樣老師 1,
25929284,8.6,384,所有的名字,[葡萄牙]若泽·萨拉马戈
26866762,8.6,384,影响力（经典版）,【美】罗伯特•B.西奥迪尼（Robert B.Cialdini）
27085977,8.6,384,极简音乐史,(日）冈田晓生
1008698,8.2,583,于坚的诗,
1073086,8.2,583,偶遇,陈丹燕
25734194,8.2,583,古书堂事件手帖 03,[日] 三上延 著 / [日] 越岛羽空 绘
1061468,8.5,424,表征,(英)斯图尔特.霍尔
4841506,8.5,424,忏悔录,列夫·托尔斯泰
26772667,8.5,424,我坐在火山的最边缘,包慧怡
1048524,8.1,653,尼采传,丹尼尔・哈列维[法]
1417099,9.3,208,Stray Birds,
27667378,9.3,208,Python数据科学手册,
1131988,8.3,522,不服从的江湖,
6744661,8.3,522,末日酒店,
26845171,8.3,522,多年前，她曾闯入他的城,
10458506,9.0,266,一個人的每一天,高木直子
24295881,9.0,266,汶川地震168小时,
25895035,9.0,266,罗马史研究入门,刘津瑜
26148300,9.0,266,新闻的十大基本原则（中译本第二版）,[美]比尔·科瓦奇(Bill Kovach) / [美]汤姆·罗森斯蒂尔(Tom Rosenstiel)
